Card ID,Card Name,Type,Subtypes,CMC,Mana Cost,Card Text,P/T,Flavor Text,Comments
CU01,,Creature,,1,,,,,
CU02,,Creature,,2,,,,,
CU03,,Creature,,2,,,,,
CU04,,Creature,,3,,,,,
CU05,,Creature,,3,,,,,
CU06,,Creature,,4,,,,,
CU07,,Creature,,4,,,,,
CU08,,Creature,,5,,,,,
CU09,,Creature,,6+,,,,,
CU10,,Spell,,,,,,,
CU11,,Spell,,,,,,,
CU12,,Spell,,,,,,,
CU13,,Spell,,,,,,,
CU14,,Spell,,,,,,,
CU15,,Spell,,,,,,,
CU16,,Spell,,,,,,,
CU17,,Spell,,,,,,,
CU18,,Spell,,,,,,,
CU19,,Spell,,,,,,,
UU01,,Creature,,1/2,,,,,
UU02,,Creature,,2,,,,,
UU03,,Creature,,3,,,,,
UU04,,Creature,,4,,,,,
UU05,,Creature,,5,,,,,
UU06,,Creature,,Any,,,,,
UU07,,Creature,,Any,,,,,
UU08,,Spell,,,,,,,
UU09,,Spell,,,,,,,
UU10,,Spell,,,,,,,
UU11,,Spell,,,,,,,
UU12,,Spell,,,,,,,
UU13,,Spell,,,,,,,
RU01,,Creature,,2,,,,,
RU02,,Creature,,3,,,,,
RU03,,Creature,,4,,,,,
RU04,,Creature,,5,,,,,
RU05,,Creature,,Any,,,,,
RU06,,Spell,,,,,,,
RU07,,Spell,,,,,,,
RU08,,Spell,,,,,,,
RU09,,Spell,,,,,,,
MU01,,Creature,,Any,,,,,
MU02,,Spell,,,,,,,
