Card ID,Card Name,Type,Subtypes,CMC,Mana Cost,Card Text,P/T,Flavor Text,Comments
CG01,,Creature,,1,,,,,
CG02,,Creature,,2,,,,,
CG03,,Creature,,2,,,,,
CG04,,Creature,,3,,,,,
CG05,,Creature,,3,,,,,
CG06,,Creature,,3/4,,,,,
CG07,,Creature,,4,,,,,
CG08,,Creature,,4,,,,,
CG09,,Creature,,5,,,,,
CG10,,Creature,,5/6,,,,,
CG11,,Creature,,6+,,,,,
CG12,,Spell,,,,,,,
CG13,,Spell,,,,,,,
CG14,,Spell,,,,,,,
CG15,,Spell,,,,,,,
CG16,,Spell,,,,,,,
CG17,,Spell,,,,,,,
CG18,,Spell,,,,,,,
CG19,,Spell,,,,,,,
UG01,,Creature,,1/2,,,,,
UG02,,Creature,,2,,,,,
UG03,,Creature,,3,,,,,
UG04,,Creature,,4,,,,,
UG05,,Creature,,5,,,,,
UG06,,Creature,,6+,,,,,
UG07,,Creature,,Any,,,,,
UG08,,Creature,,Any,,,,,
UG09,,Spell,,,,,,,
UG10,,Spell,,,,,,,
UG11,,Spell,,,,,,,
UG12,,Spell,,,,,,,
UG13,,Spell,,,,,,,
RG01,,Creature,,2,,,,,
RG02,,Creature,,3,,,,,
RG03,,Creature,,4,,,,,
RG04,,Creature,,5,,,,,
RG05,,Creature,,Any,,,,,
RG06,,Creature,,Any,,,,,
RG07,,Spell,,,,,,,
RG08,,Spell,,,,,,,
RG09,,Spell,,,,,,,
MG01,,Creature,,Any,,,,,
MG02,,Spell,,,,,,,
