Card ID,Card Name,Type,Subtypes,CMC,Mana Cost,Card Text,P/T,Flavor Text,Comments
CR01,,Creature,,1,,,,,
CR02,,Creature,,2,,,,,
CR03,,Creature,,2,,,,,
CR04,,Creature,,2,,,,,
CR05,,Creature,,3,,,,,
CR06,,Creature,,3,,,,,
CR07,,Creature,,4,,,,,
CR08,,Creature,,4,,,,,
CR09,,Creature,,5,,,,,
CR10,,Creature,,5+,,,,,
CR11,,Spell,,,,,,,
CR12,,Spell,,,,,,,
CR13,,Spell,,,,,,,
CR14,,Spell,,,,,,,
CR15,,Spell,,,,,,,
CR16,,Spell,,,,,,,
CR17,,Spell,,,,,,,
CR18,,Spell,,,,,,,
CR19,,Spell,,,,,,,
UR01,,Creature,,1/2,,,,,
UR02,,Creature,,2,,,,,
UR03,,Creature,,3,,,,,
UR04,,Creature,,4,,,,,
UR05,,Creature,,5,,,,,
UR06,,Creature,,Any,,,,,
UR07,,Creature,,Any,,,,,
UR08,,Spell,,,,,,,
UR09,,Spell,,,,,,,
UR10,,Spell,,,,,,,
UR11,,Spell,,,,,,,
UR12,,Spell,,,,,,,
UR13,,Spell,,,,,,,
RR01,,Creature,,1/2,,,,,
RR02,,Creature,,2,,,,,
RR03,,Creature,,3,,,,,
RR04,,Creature,,4,,,,,
RR05,,Creature,,5+,,,,,
RR06,,Spell,,,,,,,
RR07,,Spell,,,,,,,
RR08,,Spell,,,,,,,
RR09,,Spell,,,,,,,
MR01,,Creature,,Any,,,,,
MR02,,Spell,,,,,,,
